発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A130,A,A140,,,$そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,C,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,B,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,C,A170,,,$いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,
A170,D,A180,,,$それいいね,それいいね。,<Positive>
A180,A,A190,,<LookNingen>,$<YourNameA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,A,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,C,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,B,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,D,A230,,,$他の人間の意見も聞きたいな。,他の人間の意見も聞きたいな。,
A220,C,A230,,,$それいいね。,それいいね。,<Positive>
A230,A,A240,,<LookNingenALL>,$ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,
A240,B,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる（このボタンを見た人は、すぐ押してください。）,はじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,D,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,A,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,D,A280,,<LookNingen>,$じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,
A280,D,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,B,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,C,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
