発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A101,B,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,B,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,A,A11a,,,$全然納得できないよ,全然納得できないよ,
A11a,C,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,A,A130,,,$たしかに,たしかに。,<Positive>
A130,B,A140,,,$そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,D,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,C,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,D,A170,,,$いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,
A170,A,A180,,,$それいいね,それいいね。,<Positive>
A180,B,A190,,<LookNingen>,$<YourNameB>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameB>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,B,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,D,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,C,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,A,A230,,,$他の人間の意見も聞きたいな。,他の人間の意見も聞きたいな。,
A220,D,A230,,,$それいいね。,それいいね。,<Positive>
A230,B,A240,,<LookNingenALL>,$ねえ人間のみんな、「<Argument>」って、ほんと？5分くらいボクらは黙ってるから、話し合ってよ。,ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,
A240,C,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる（このボタンを見た人は、すぐ押してください。）,はじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,A,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,B,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,A,A280,,<LookNingen>,$じゃあ、<YourNameA>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameA>さん、人間のみんなの意見をまとめてください。,
A280,A,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,C,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,D,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
