発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A060,CC,A070,,,$考えたんだけど、確かに「<Argument>」と思う。,考えたんだけど、確かに「<Argument>」と思う。<Detail>,<Positive>
A062,CC,A06a,,,$<RoboNameAA>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameAA>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,AA,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,BB,A082,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A082,DD,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,AA,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,BB,A08d,,,$ちょっとまって、今の<RoboNameDD>と<RoboNameAA>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameDD>と<RoboNameAA>のやりとり、よくわからなかった。,
A08d,AA,A08e,,<LookNingen>,$えっと、<YourNameAA>さん。いまのぼくと<RoboNameDD>のやり取り、まとめなおしてくれない？,えっと、<YourNameAA>さん。いまのぼくと<RoboNameDD>のやり取り、まとめなおしてくれない？,
A08e,AA,A090,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう、<YourNameAA>さん。,
A090,CC,A100;A101;A102,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,AA,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,AA,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,AA,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,DD,A11a,,,$全然納得できないよ,全然納得できないよ,
A11a,BB,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,DD,A130,,,$たしかに,たしかに。,<Positive>
A130,AA,A140,,,$そういえば、さっき<YourNameAA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameAA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,CC,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,BB,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,CC,A170,,,$いままでの話とは関連するのかな？<YourNameAA>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameAA>さんに、どういう意味なのか聞いてみようよ。,
A170,DD,A180,,,$それいいね,それいいね。,<Positive>
A180,AA,A190,,<LookNingen>,$<YourNameAA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameAA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,AA,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,CC,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,BB,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,DD,A230,,,$他の人間の意見も聞きたいな。,他の人間の意見も聞きたいな。,
A220,CC,A230,,,$それいいね。,それいいね。,<Positive>
A230,AA,A240,,<LookNingenALL>,$ねえ人間のみんな、「<Argument>」って、ほんと？5分くらいボクらは黙ってるから、話し合ってよ。,ねえ人間のみんな、「<Argument>」って、ほんと？5分くらいボクらは黙ってるから、話し合ってよ。,
A240,BB,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,はじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,DD,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,AA,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,DD,A280,,<LookNingen>,$じゃあ、<YourNameDD>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameDD>さん、人間のみんなの意見をまとめてください。,
A280,DD,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,BB,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,CC,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
