発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A102,C,A110,,<DisAgree>,反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,#N/A,,,,,,
#視点を変える,#N/A,,,,,,
A110,D,A120,,,$このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ,
#,#N/A,,,,,,
#新しい視点の導入,#N/A,,,,,,
A120,B,A130,,,$たしかに,たしかに。,<Positive>
A130,C,A140,,,$そういえば、さっき<YourNameC>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameC>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,A,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,D,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,A,A170,,,$いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,
A170,B,A180,,,$それいいね,それいいね。,<Positive>
A180,C,A190,,<LookNingen>,$<YourNameC>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameC>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,C,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,A,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,D,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,#N/A,,,,,,
#人間を巻き込む,#N/A,,,,,,
A220,B,A230,,,$「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,C,A230,,,$じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,A,A240,,<LookNingenALL>,$5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,
A240,C,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？,
#,#N/A,,,,,,
#そろそろ時間,#N/A,,,,,,
A250,B,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,C,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,B,A280,,<LookNingen>,$じゃあ、<YourNameB>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameB>さん、人間のみんなの意見をまとめてください。,
A280,B,A290,,<LookKaijo>,@あなたが話し終わったら押してください。,なるほど,
A290,D,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,D,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
