発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A160,C,A170,,,$いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,
A170,D,A180,,,$それいいね,それいいね。,<Positive>
A180,A,A190,,<LookNingen>,$<YourNameA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameA>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,A,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,C,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,B,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,D,A230,,,$「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,A,A230,,,$じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,C,A240,,<LookNingenALL>,$5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,
A240,A,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,D,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,A,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,D,A280,,<LookNingen>,$じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,
A280,D,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,B,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,B,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
